Loan_ID,Borrower_Name,Loan_Amount,Interest_Rate,Loan_Term,Credit_Score,Employment_Status,Annual_Income,Property_Value,Loan_Purpose,Monthly_Payment,Loan_Status,Down_Payment,Property_Type,Loan_to_Value,Origination_Date,Approval_Date
1,Christine Robinson,198284,3.56,15,708,Employed,105698,515743,Home Improvement,502.43,Approved,27812,Condo,74.79,16-05-2023,07-11-2022
2,Alvin Jones,314393,4.86,20,616,Self-Employed,95586,538114,Home Improvement,2695.4,Approved,30919,Single-Family,81.09,31-03-2023,02-04-2023
3,Gerald Moore,155923,3.22,30,784,Employed,110825,267674,Refinance,2518.39,Pending,24262,Single-Family,84.11,19-11-2022,04-09-2023
4,Jessica Choi,309376,3.65,15,728,Employed,36214,300348,Refinance,978.3,Rejected,26636,Townhouse,91.04,11-06-2022,30-04-2023
5,Felicia Jones,319389,4.18,20,777,Employed,37548,582230,Refinance,1949.1,Approved,42060,Single-Family,92.98,08-10-2023,25-04-2023
6,Anthony Davis,306268,3.13,30,774,Unemployed,80046,411911,Purchase,2538.42,Approved,23853,Single-Family,83.75,05-01-2022,22-04-2023
7,Daisy Barajas,139145,3.02,30,707,Unemployed,38208,538146,Refinance,2466.37,Rejected,47097,Single-Family,79.65,26-01-2022,24-06-2023
8,Martha Castro,448134,4.46,20,629,Unemployed,69608,323869,Refinance,1407.08,Approved,12681,Townhouse,70.57,17-07-2022,02-02-2023
9,Dawn James,413827,3.25,15,623,Unemployed,105977,776048,Refinance,1628.6,Pending,18183,Single-Family,88.28,18-10-2022,16-10-2023
10,Marilyn Moore,122839,4.92,15,753,Self-Employed,116497,209147,Refinance,2175.69,Approved,15403,Single-Family,73.75,07-07-2023,08-10-2023
11,Linda Johnson,218895,4.45,15,696,Self-Employed,79275,182548,Refinance,800.16,Approved,15179,Single-Family,93.68,12-04-2023,23-07-2023
12,Matthew Mcintosh,104725,4.06,20,745,Unemployed,108904,785042,Home Improvement,1482.43,Rejected,37845,Single-Family,94.91,17-07-2022,31-03-2023
13,Matthew Rivera,475557,4.97,15,702,Unemployed,119700,109941,Home Improvement,1296.16,Pending,16674,Condo,83.01,20-01-2023,14-05-2023
14,Denise Franklin,326773,3.85,30,618,Unemployed,90146,363018,Purchase,1521.68,Approved,26985,Single-Family,76.72,13-02-2022,07-02-2023
15,Richard Gamble,310704,3.25,20,771,Self-Employed,99158,416626,Home Improvement,2322.62,Pending,29185,Townhouse,76.54,14-07-2023,06-01-2023
16,Kendra Rivers,156497,4.8,20,701,Employed,87507,421227,Refinance,2395.72,Pending,46048,Condo,75.68,23-09-2023,25-06-2023
17,Laura Cox,400610,3.99,20,760,Unemployed,32177,688583,Home Improvement,1416.48,Approved,42858,Townhouse,90.61,18-04-2022,01-01-2023
18,Jacqueline Smith,122624,4.97,20,606,Self-Employed,36921,358270,Home Improvement,2867,Pending,47837,Condo,72.89,28-12-2021,03-11-2022
19,Angela Tyler,402667,4.74,15,684,Employed,106952,380492,Home Improvement,2138.13,Rejected,14212,Condo,89.76,28-03-2023,21-05-2023
20,Jessica Vang,108358,4.47,20,768,Employed,69424,306811,Refinance,2987.4,Approved,14010,Townhouse,90.43,22-01-2022,03-08-2023
21,Janet Young,362013,4.45,15,601,Unemployed,54930,592048,Refinance,1919.38,Rejected,28607,Single-Family,80.16,17-09-2023,30-10-2023
22,Kayla Ryan,255014,4.91,15,754,Unemployed,67905,177261,Home Improvement,1456.95,Approved,42939,Condo,93.44,16-05-2023,11-07-2023
23,Kimberly Harmon,401384,4.6,20,632,Unemployed,115584,179513,Purchase,1653.72,Approved,43634,Condo,88.18,18-07-2023,23-05-2023
24,Michael Parker,230809,4.32,20,792,Unemployed,40587,427380,Refinance,2968.89,Pending,13306,Single-Family,72.94,03-09-2023,24-03-2023
25,Mr. Christopher Ross Jr.,424899,3.01,20,628,Employed,113806,384600,Home Improvement,2353.02,Approved,12770,Condo,70.61,10-01-2023,06-03-2023
